ticker,ticker_full,name_yahoo,exchange,quote_type,currency,financial_currency,sector,industry,industry_key,summary,employees,website,hq_country,hq_city,hq_state,price,mcap_yahoo,shares_outstanding,float_shares,volume_avg,volume_avg_10d,beta,revenue_info,ebitda_info,gross_margin,operating_margin,profit_margin,total_cash,total_debt_info,held_insiders,held_institutions,analysts,revenue_stmt,cost_of_revenue,gross_profit,ebitda_stmt,operating_income,net_income,revenue_year,construction_in_progress,net_ppe,gross_ppe,total_assets,cash_and_equiv,total_debt,stockholders_equity,balance_year,capex,stock_issuance,operating_cf,free_cf,exploration_spend,cashflow_year,fetch_status,fetch_note,fetched_at
10X,10X.AX,Exultant Mining Limited,ASX,EQUITY,AUD,AUD,Basic Materials,Other Industrial Metals & Mining,other-industrial-metals-mining,"Exultant Mining Limited engages in the acquisition, exploration, and development of mineral resource projects in Australia and internationally. The company explores gold, silver, lithium, copper, zinc, nickel, and base metal deposits. It holds 100% interest in the Peak View Project which covers 122 square kilometers located in New South Wales; the Black Hammer Project covering an area of 310 square kilometers located in New South Wales; the Deep Dykes Project covering 35 an area of approximately 100 square kilometres located in Western Australia. Exultant Mining Limited was incorporated in 2025 and is based in Perth, Australia.",,https://www.exultantmining.com.au,Australia,Perth,WA,0.15,5610000,37400001,24236545,58912,46293,,,,0.0,0.0,0.0,4291999,0,0.49573,0.0,,,,,-76261.0,-76261.0,-76261.0,2025,,1180512.0,1180512.0,5664715.0,4483459.0,,5631707.0,2025,,100001.0,,-47985.0,,2025,ok,,2026-09-02T10:01:45
1AE,1AE.AX,Aurora Energy Metals Limited,ASX,EQUITY,AUD,AUD,Energy,Uranium,uranium,"Aurora Energy Metals Limited engages in the mineral exploration activities in the United States and Australia. The company primarily explores for uranium and lithium deposits. Its flagship project is the Aurora Uranium Project located in southeast Oregon, the United States. Aurora Energy Metals Limited was incorporated in 2015 and is based in Subiaco, Australia.",,https://www.auroraenergymetals.com,Australia,Subiaco,WA,0.057,10206633,179063737,101088642,164918,201351,0.85,11769,-640071,1.0,-14.560861,69.87255,1460841,0,0.32582,0.08104999,,,,,-2451776.0,-2472514.0,-2357860.0,2024,,395575.0,395575.0,2274995.0,1595171.0,,1908706.0,2024,-418479.0,60000.0,,-2015473.0,,2023,ok,,2026-09-02T10:01:49
1MC,1MC.AX,Morella Corporation Limited,ASX,EQUITY,AUD,AUD,Basic Materials,Other Industrial Metals & Mining,other-industrial-metals-mining,"Morella Corporation Limited focuses on the exploration and project development of lithium and battery minerals in Australia and the United States. The company operates through Exploration Services and Mineral Exploration segments. It also provides drilling services primarily to mining and exploration companies. The company was formerly known as Altura Mining Limited and changed its name to Morella Corporation Limited in December 2021. Morella Corporation Limited was incorporated in 2000 and is based in West Perth, Australia.",,https://www.morellacorp.com,Australia,West Perth,WA,0.031,12641924,407803985,162864032,363723,67872,0.251,661006,-2631901,0.20499,-5.22903,0.0,2259000,5222000,0.53361,0.0,,526200.0,435134.0,91066.0,-2625866.0,-2685300.0,-2901986.0,2024,,10770411.0,11753322.0,12870721.0,420820.0,3534145.0,7810546.0,2024,-5583340.0,8550000.0,,-8638199.0,,2024,ok,,2026-09-02T10:01:51
29M,29M.AX,29Metals Limited,ASX,EQUITY,AUD,AUD,Basic Materials,Other Precious Metals & Mining,other-precious-metals-mining,"29Metals Limited operates as a copper-focused base and precious metals mining company in Australia and Chile. The company explores copper, gold, silver, zinc, and lead deposits. It is also involved in base and precious metals mining, mineral production, and associated activities; exploration for mineral resources; and Cervantes, and Gossan Valley projects. Its primary assets include the Golden Grove property covering an area of approximately 129 square kilometers located in Western Australia; the Capricorn Copper property covering an area of approximately 1,900 square kilometers situated in Queensland; and Redhill property covering an area of approximately 227 square kilometers. 29Metals Limited was incorporated in 2021 and is headquartered in Melbourne, Australia.",,https://www.29metals.com,Australia,Melbourne,VIC,0.35,612526784,1750076545,908394933,4262824,4879518,,600481984,55561500,0.11737,-0.09315,-0.07659,187551008,238888992,0.28295,0.38519,7,566295000.0,378710000.0,187585000.0,172226000.0,29380000.0,24171000.0,2025,91352000.0,778092000.0,1110231000.0,1041690000.0,102650000.0,246619000.0,446062000.0,2025,-123678000.0,180000000.0,,-68227000.0,,2025,ok,,2026-09-02T10:01:54
49M,49M.AX,49 Metals Limited,ASX,EQUITY,AUD,AUD,Basic Materials,Gold,gold,"49 Metals Limited engages in acquiring, exploring, and developing gold projects in North America. The company operates Gold Mountain Project located in Esmeralda County, Nevada; the Sinter Project located in Esmeralda County, Nevada; and the Buffalo Canyon Project located in Nye County, Nevada. 49 Metals Limited was incorporated in 2021 and is based in Subiaco, Australia.",,https://www.49metals.com.au,Australia,Subiaco,WA,0.115,9457216,82236653,26590081,248961,552687,,,,0.0,0.0,0.0,198038,0,0.40261,0.068569995,,,,,,-66322.0,-66002.0,2025,,1559188.0,1559188.0,11217196.0,9184873.0,,9685796.0,2025,,494000.0,,,,2025,ok,,2026-09-02T10:01:57
6KA,6KA.AX,"6K Additive, Inc.",ASX,EQUITY,AUD,USD,Basic Materials,Other Industrial Metals & Mining,other-industrial-metals-mining,"6K Additive, Inc. produces premium metal powders, alloy additions, and mill products for additive manufacturing and other applications in the United States. Its products include metal powders, alloy compacts, and mill products. It offers two types of metal powder including spherical metal powders for principal additive manufacturing products with particle size distributions for laser powder bed fusion (LPBF), electron beam melting (EBM), directed energy deposition (DED/laser blown powder) and binder jetting; and angular metal powders including titanium and chromium powders for cold spray, coatings and conventional powder metallurgy markets. The company's alloy compacts including titanium/zirconium additions are melt additives consumed primarily in aluminum alloying and other metallurgical processes including rolling mills, casthouses and foundries to control chemistry, and microstructure in aluminum production. The company also offers mill products comprising nickel and titanium ingots and selective scrap trading. The company's products are used in various industries, such as aerospace, defense, medical, industrial application energy, contract manufacturing, printer original equipment manufacturers. 6K Additive, Inc. was founded in 2017 and is headquartered in Burgettstown, Pennsylvania. 6K Additive, Inc. operates as a subsidiary of 6K Inc.",75,https://6kadditive.com,United States,Burgettstown,PA,0.83,222272752,267798503,52611694,131601,139269,,23278236,-10968772,-0.01293,-0.54333997,-0.56409,22106884,354515,0.68481004,0.063039996,2,17676045.0,19389907.0,-1713862.0,-12932083.0,-13139515.0,-17911307.0,2025,-5715246.0,19000765.0,19000765.0,69097344.0001,29469303.0,360618.0,62916505.0,2025,-1925982.0,40081109.0,,-16134896.0,,2025,ok,,2026-09-02T10:01:59
A11,A11.AX,Atlantic Lithium Limited,ASX,EQUITY,AUD,AUD,Basic Materials,Other Industrial Metals & Mining,other-industrial-metals-mining,"Atlantic Lithium Limited engages in the exploration and development of mineral properties in Australia, Ivory Coast, and Ghana. The company primarily explores for lithium deposits. The company evaluation, development and production of its flagship project is the Ewoyaa lithium project located in Ghana. It holds interest in a lithium property covering an area of 771 square kilometers in Côte d'Ivoire. The company was formerly known as IronRidge Resources Limited and changed its name to Atlantic Lithium Limited in November 2021. Atlantic Lithium Limited was incorporated in 2007 and is based in Sydney, Australia.",,https://www.atlanticlithium.com.au,Australia,Sydney,NSW,0.3,240450992,801503291,483246427,392889,451695,0.376,289337,-4856110,1.0,-43.94665,0.0,5400411,0,0.35459,0.07478,1,10645.0,61486.0,-61486.0,-12331360.0,-6519037.0,-6593824.0,2025,,37970806.0,1363923.0,41186220.0,5386779.0,176253.0,35451129.0,2025,-25136888.0,10268528.0,,-24454548.0,,2024,ok,,2026-09-02T10:02:02
A1M,A1M.AX,AIC Mines Limited,ASX,EQUITY,AUD,AUD,Basic Materials,Other Precious Metals & Mining,other-precious-metals-mining,"AIC Mines Limited engages in the exploration, development, and production of mines in Australia. The company operates through Mining, and Exploration, Development and Corporate segments. It explores for gold, copper, nickel, and silver deposits. The company's exploration projects include Eloise Regional project located in Eloise; Cannington project is in south of Eloise; Windsor project is in south of Charters Towers; Delamerian project is situated in western New South Wales; and South Australian projects is in north-eastern Gawler Crato. AIC Mines Limited was incorporated in 1993 and is based in Subiaco, Australia.",,https://www.aicmines.com.au,Australia,Subiaco,WA,0.78,622143424,797619821,487082496,2037049,2078201,0.137,245230000,101683000,0.33504,0.26307,0.16916999,63243000,79564000,0.34636003,0.08688,6,182469000.0,112264000.0,70205000.0,53086000.0,14139000.0,7694000.0,2024,,161955000.0,182422000.0,266786000.0,74341000.0,6994000.0,219114000.0,2024,-65555000.0,53737000.0,,-13629000.0,,2024,ok,,2026-09-02T10:02:04
A4N,A4N.AX,Alpha HPA Limited,ASX,EQUITY,AUD,AUD,Basic Materials,Aluminum,aluminum,"Alpha HPA Limited, a specialty materials and technology company, focuses on the delivery and operation of the HPA First and Alpha Sapphire projects in Queensland. It offers aluminium products for use in semiconductors, lithium-ion batteries, direct lithium extraction, synthetic sapphire glass for sapphire optics, power-semiconductors, and micro-led technology, as well as technical ceramics and specialty catalysts. The company was formerly known as Collerina Cobalt Limited and changed its name to Alpha HPA Limited in November 2018. Alpha HPA Limited was incorporated in 2003 and is based in Sydney, Australia.",,https://alphahpa.com.au,Australia,Sydney,NSW,0.647,939377024,1451896391,805551730,6823385,11407271,0.987,510066,-39936088,0.0,-93.106865,0.0,45938748,26840900,0.24520999,0.27453,5,317517.0,13044.0,317517.0,-28914278.0,-43551320.0,-32555318.0,2025,79791442.0,125503695.0,131167602.0,283371408.0,102035989.0,4415369.0,218875711.0,2025,-88238940.0,223973213.0,,-106475307.0,,2025,ok,,2026-09-02T10:02:08
A8G,A8G.AX,Australasian Metals Limited,ASX,EQUITY,AUD,AUD,Basic Materials,Gold,gold,"Australasian Metals Limited, together with its subsidiaries, engages in the exploration of gold, lithium, bauxite, and precious metals in Australia. The company was formerly known as Australasian Gold Limited and changed its name to Australasian Metals Limited in December 2021. Australasian Metals Limited was incorporated in 2018 and is based in West Perth, Australia.",,https://australasiangold.com,Australia,West Perth,WA,0.1,5788972,57889725,25635886,54535,83134,0.411,,-507498,0.0,0.0,0.0,2681132,42088,0.55716,0.0,,,,,-309888.0,-874540.0,-335657.0,2024,,3870058.0,3914029.0,7357249.0,1150980.0,6386.0,7127615.0,2024,-711468.0,2500000.0,,-834858.0,,2024,ok,,2026-09-02T10:02:11
